BO;Attribute;ARM Element;Source;Rules;Reference path
;RequirementVersionRelationship to IdentifierSet (as id);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/id_AS_IdentifierSet(Product_version_relationship)/"
;RequirementVersionRelationship to IdentifierString (as id);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/id_AS_Identifier(Product_version_relationship)/"
;RequirementVersionRelationship to RequirementVersion (as related);PATH;;;"Requirement_version_relationship
Requirement_version_relationship.related_version ->
Requirement_version"
;RequirementVersionRelationship to RequirementVersion (as relating);PATH;;;"Requirement_version_relationship
Requirement_version_relationship.relating_version ->
Requirement_version"
;RequirementVersionRelationship to Class (as relationType);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
classification_item = Product_version_relationship
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class"
;RequirementVersionRelationship to ClassString (as relationType);Product_version_relationship.relation_type;442;;"Requirement_version_relationship <=
Product_version_relationship
Product_version_relationship.relation_type"
;RequirementVersionRelationship to ExternalClass (as relationType);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
classification_item = Product_version_relationship
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class =>
External_class"
;RequirementVersionRelationship to ExternalOwlClass (as relationType);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
classification_item = Product_version_relationship
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class =>
External_class
{External_class <-
Classification_assignment.items[1]
Classification_assignment
Classification_assignment.assigned_class ->
Class
Class.id = 'external owl class'}"
RequirementView;;Requirement_view_definition;442;;"Requirement_view_definition <=
Product_view_definition"
;RequirementView to ViewContext (as additionalContexts);PATH;;;"Requirement_view_definition <=
Product_view_definition
Product_view_definition.additional_contexts[i] ->
/MAPPING_OF(ViewContext)/"
;RequirementView to Classification (as classifiedAs);PATH;;;"Requirement_view_definition <=
Product_view_definition 
/classifiedAs_AS_Classification(Product_view_definition)/"
;RequirementView to PropertyValue (as definitionalRepresentations);PATH;;;"Requirement_view_definition <=
Product_view_definition
property_assignment_select = Product_view_definition
property_assignment_select <-
Assigned_property.described_element
Assigned_property
represented_definition = Assigned_property
represented_definition <-
Property_definition_representation.definition
Property_definition_representation.used_representation ->
Representation
Representation.items ->
Representation_item"
;RequirementView to CharacterString (as description);Product_view_definition.description;442;;"Requirement_view_definition <=
Product_view_definition
Product_view_definition.description"
