BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;ConditionAssignment to AddressAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to Approval (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ApprovalAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to BreakdownElementViewRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to BreakdownVersionAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to CertificationAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ConditionAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ContractAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to DateAndPersonAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to DateTimeAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to DocumentAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to DocumentDefinitionRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to Effectivity (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to EffectivityAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to EventAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to FrozenAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to IndividualPartViewRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to InformationUsageRightAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to MaterialPropertyAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ModelPropertyAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to PartViewRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ProcessOperationResourceAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ProjectAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to PropertyDefinitionAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to PropertyValueAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to RequirementAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to RequirementViewRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to SecurityClassificationAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to SpecificationAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to SpecificationCategoryAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to SpecificationConditionAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to SpecificationInclusionAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to TimeIntervalAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to WorkOrderAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to WorkRequestAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to Classification (as classifiedAs);PATH;;;"Condition_assignment
/classifiedAs_AS_Classification(Condition_assignment)/";;
;ConditionAssignment to CharacterString (as description);Condition_assignment.description;442;;;;
;ConditionAssignment to Descriptor (as description);PATH;;;"Condition_assignment
/description_AS_Descriptor(Condition_assignment)/";;
;ConditionAssignment to DescriptorSet (as description);PATH;;;"Condition_assignment
/description_AS_DescriptorSet(Condition_assignment)/";;
;ConditionAssignment to LocalizedString (as description);PATH;;;"Condition_assignment
/description_AS_LocalizedString(Condition_assignment)/";;
;ConditionAssignment to TranslatedStringSet (as description);PATH;;;"Condition_assignment
/description_AS_TranslatedStringSet(Condition_assignment)/";;
